iter	Passed	Remaining
0	1	160
1	3	149
2	4	138
3	5	133
4	7	136
5	8	132
6	9	129
7	11	128
8	12	127
9	13	124
10	15	122
11	16	120
12	17	118
13	19	116
14	20	117
15	22	116
16	23	114
17	24	113
18	26	112
19	28	112
20	29	112
21	31	111
22	33	111
23	34	110
24	36	108
25	37	107
26	39	106
27	40	104
28	42	103
29	43	102
30	45	101
31	47	100
32	49	99
33	50	98
34	52	97
35	54	97
36	56	96
37	58	95
38	60	95
39	63	94
40	64	93
41	65	90
42	67	89
43	69	88
44	71	87
45	73	85
46	75	84
47	77	83
48	78	82
49	80	80
50	82	79
51	84	77
52	85	76
53	87	74
54	89	72
55	90	71
56	92	69
57	94	68
58	95	66
59	97	65
60	99	63
61	101	62
62	103	60
63	105	59
64	107	57
65	109	56
66	111	55
67	114	53
68	115	52
69	117	50
70	119	48
71	121	47
72	123	45
73	125	44
74	127	42
75	129	40
76	131	39
77	133	37
78	135	35
79	136	34
80	138	32
81	140	30
82	142	29
83	144	27
84	145	25
85	147	24
86	149	22
87	151	20
88	153	18
89	155	17
90	157	15
91	159	13
92	161	12
93	162	10
94	164	8
95	166	6
96	168	5
97	170	3
98	172	1
99	174	0
